都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント番号,イベント,発生件数
福井県,18,越前市,209,35.909287,136.175482,4,急加速,2
福井県,18,越前市,209,35.917574,136.191214,4,急加速,2
福井県,18,越前市,209,35.908807,136.176535,4,急加速,3
福井県,18,越前市,209,35.910893,136.184159,4,急加速,2
福井県,18,越前市,209,35.896121,136.145032,4,急加速,2
福井県,18,越前市,209,35.918853,136.174638,4,急加速,2
福井県,18,越前市,209,35.911031,136.189053,4,急加速,2
福井県,18,越前市,209,35.917161,136.188688,4,急加速,3
福井県,18,越前市,209,35.918241,136.179409,4,急加速,3
福井県,18,越前市,209,35.90823,136.189831,4,急加速,2
福井県,18,越前市,209,35.917843,136.18302,4,急加速,4
福井県,18,越前市,209,35.918331,136.179364,4,急加速,2
福井県,18,越前市,209,35.919857,136.165303,4,急加速,4
福井県,18,越前市,209,35.917139,136.18886,4,急加速,11
福井県,18,越前市,209,35.91714799,136.188761,4,急加速,5
福井県,18,越前市,209,35.88482299,136.18386,4,急加速,2
福井県,18,越前市,209,35.905884,136.192038,4,急加速,2
福井県,18,越前市,209,35.889018,136.19165,4,急加速,3
福井県,18,越前市,209,35.880155,136.17348,4,急加速,2
福井県,18,越前市,209,35.906101,136.192021,4,急加速,8
福井県,18,越前市,209,35.902768,136.192269,4,急加速,2
福井県,18,越前市,209,35.872869,136.158386,4,急加速,4
福井県,18,越前市,209,35.871816,136.158113,4,急加速,2
福井県,18,越前市,209,35.87413699,136.161485,4,急加速,2
福井県,18,越前市,209,35.917327,136.191241,4,急加速,2
福井県,18,越前市,209,35.90035499,136.19221,4,急加速,2
福井県,18,越前市,209,35.950133,136.202263,4,急加速,2
福井県,18,越前市,209,35.912642,136.188973,4,急加速,3
福井県,18,越前市,209,35.918328,136.179598,4,急加速,3
福井県,18,越前市,209,35.91986099,136.165235,4,急加速,3
福井県,18,越前市,209,35.924531,136.185388,4,急加速,2
福井県,18,越前市,209,35.908262,136.189775,4,急加速,5
福井県,18,越前市,209,35.91081599,136.17748,4,急加速,2
福井県,18,越前市,209,35.918847,136.174299,4,急加速,2
福井県,18,越前市,209,35.918813,136.174521,4,急加速,2
福井県,18,越前市,209,35.907825,136.192055,4,急加速,2
福井県,18,越前市,209,35.924674,136.185252,4,急加速,2
福井県,18,越前市,209,35.919824,136.165621,4,急加速,3
福井県,18,越前市,209,35.920481,136.130578,4,急加速,2
福井県,18,越前市,209,35.920136,136.146625,4,急加速,3
福井県,18,越前市,209,35.919615,136.132061,4,急加速,4
福井県,18,越前市,209,35.919527,136.132159,4,急加速,3
福井県,18,越前市,209,35.919148,136.132357,4,急加速,2
福井県,18,越前市,209,35.92043,136.130677,4,急加速,2
福井県,18,越前市,209,35.920242,136.146739,4,急加速,4
福井県,18,越前市,209,35.920236,136.146661,4,急加速,3
福井県,18,越前市,209,35.919535,136.132137,4,急加速,4
福井県,18,越前市,209,35.919403,136.132257,4,急加速,2
福井県,18,越前市,209,35.920124,136.146628,4,急加速,6
福井県,18,越前市,209,35.919583,136.13209,4,急加速,3
福井県,18,越前市,209,35.91951799,136.132152,4,急加速,6
福井県,18,越前市,209,35.919466,136.132194,4,急加速,2
福井県,18,越前市,209,35.918934,136.132448,4,急加速,4
福井県,18,越前市,209,35.919559,136.132109,4,急加速,3
福井県,18,越前市,209,35.90591,136.192286,4,急加速,2
福井県,18,越前市,209,35.91735,136.191104,4,急加速,2
福井県,18,越前市,209,35.948762,136.245246,4,急加速,2
福井県,18,越前市,209,35.948423,136.244338,4,急加速,2
福井県,18,越前市,209,35.927013,136.248607,4,急加速,2
福井県,18,越前市,209,35.941649,136.244094,4,急加速,2
福井県,18,越前市,209,35.917918,136.245452,4,急加速,2
福井県,18,越前市,209,35.920124,136.146641,4,急加速,2
福井県,18,越前市,209,35.919519,136.132161,4,急加速,2
福井県,18,越前市,209,35.908453,136.191992,4,急加速,3
福井県,18,越前市,209,35.89867,136.192398,4,急加速,3
福井県,18,越前市,209,35.93625999,136.300085,4,急加速,5
福井県,18,越前市,209,35.92018499,136.146644,4,急加速,2
福井県,18,越前市,209,35.91956299,136.132109,4,急加速,4
福井県,18,越前市,209,35.889543,136.192035,4,急加速,2
福井県,18,越前市,209,35.917985,136.191088,4,急加速,2
福井県,18,越前市,209,35.918829,136.132512,4,急加速,2
福井県,18,越前市,209,35.91957,136.13213,4,急加速,2
福井県,18,越前市,209,35.919468,136.132187,4,急加速,2
福井県,18,越前市,209,35.88716999,136.189312,4,急加速,2
福井県,18,越前市,209,35.87172,136.157732,4,急加速,2
福井県,18,越前市,209,35.906011,136.192108,4,急加速,2
福井県,18,越前市,209,35.906205,136.192048,4,急加速,2
福井県,18,越前市,209,35.889142,136.191859,4,急加速,2
福井県,18,越前市,209,35.912108,136.191688,4,急加速,2
福井県,18,越前市,209,35.920718,136.130135,4,急加速,2
福井県,18,越前市,209,35.919555,136.132151,4,急加速,23
福井県,18,越前市,209,35.920186,136.146649,4,急加速,7
福井県,18,越前市,209,35.905965,136.192094,4,急加速,2
福井県,18,越前市,209,35.919429,136.132218,4,急加速,5
福井県,18,越前市,209,35.920215,136.146661,4,急加速,2
福井県,18,越前市,209,35.907779,136.170734,4,急加速,2
福井県,18,越前市,209,35.91987499,136.165116,4,急加速,4
福井県,18,越前市,209,35.918293,136.179661,4,急加速,2
福井県,18,越前市,209,35.912383,136.18895,4,急加速,2
福井県,18,越前市,209,35.918266,136.179391,4,急加速,2
福井県,18,越前市,209,35.899143,136.195294,4,急加速,3
福井県,18,越前市,209,35.898879,136.192434,4,急加速,2
福井県,18,越前市,209,35.89716,136.192487,4,急加速,2
福井県,18,越前市,209,35.919392,136.132224,4,急加速,5
福井県,18,越前市,209,35.919551,136.132096,4,急加速,5
福井県,18,越前市,209,35.869009,136.15369,4,急加速,2
福井県,18,越前市,209,35.918923,136.174296,4,急加速,2
福井県,18,越前市,209,35.917816,136.183153,4,急加速,3
福井県,18,越前市,209,35.91980499,136.165597,4,急加速,2
福井県,18,越前市,209,35.87283399,136.158086,4,急加速,2
福井県,18,越前市,209,35.852738,136.130485,4,急加速,4
福井県,18,越前市,209,35.901919,136.195474,4,急加速,2
福井県,18,越前市,209,35.873801,136.16105,4,急加速,2
福井県,18,越前市,209,35.87170299,136.155706,4,急加速,2
福井県,18,越前市,209,35.92022399,136.14676,4,急加速,2
福井県,18,越前市,209,35.888454,136.156763,4,急加速,2
福井県,18,越前市,209,35.924928,136.190485,4,急加速,2
福井県,18,越前市,209,35.898908,136.192404,4,急加速,2
福井県,18,越前市,209,35.917298,136.191171,4,急加速,2
福井県,18,越前市,209,35.919606,136.13207,4,急加速,8
福井県,18,越前市,209,35.920153,136.146636,4,急加速,4
