都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント番号,イベント,発生件数
福井県,18,越前市,209,35.919351,136.179445,4,急加速,1
福井県,18,越前市,209,35.901429,136.151775,4,急加速,1
福井県,18,越前市,209,35.909287,136.175482,4,急加速,2
福井県,18,越前市,209,35.90958899,136.167245,4,急加速,1
福井県,18,越前市,209,35.907843,136.182353,4,急加速,1
福井県,18,越前市,209,35.908881,136.184219,4,急加速,1
福井県,18,越前市,209,35.91716799,136.183344,4,急加速,1
福井県,18,越前市,209,35.917868,136.182973,4,急加速,1
福井県,18,越前市,209,35.91406,136.178175,4,急加速,1
福井県,18,越前市,209,35.924706,136.191275,4,急加速,1
福井県,18,越前市,209,35.92461999,136.190198,4,急加速,1
福井県,18,越前市,209,35.926609,136.18918,4,急加速,1
福井県,18,越前市,209,35.901114,136.146736,4,急加速,1
福井県,18,越前市,209,35.904988,136.161226,4,急加速,1
福井県,18,越前市,209,35.895301,136.177495,4,急加速,1
福井県,18,越前市,209,35.912106,136.195069,4,急加速,1
福井県,18,越前市,209,35.920572,136.158229,4,急加速,1
福井県,18,越前市,209,35.913824,136.179106,4,急加速,1
福井県,18,越前市,209,35.91712299,136.188898,4,急加速,1
福井県,18,越前市,209,35.917052,136.197421,4,急加速,1
福井県,18,越前市,209,35.872858,136.156098,4,急加速,1
福井県,18,越前市,209,35.908223,136.169998,4,急加速,1
福井県,18,越前市,209,35.915065,136.220992,4,急加速,1
福井県,18,越前市,209,35.918365,136.179098,4,急加速,1
福井県,18,越前市,209,35.908743,136.17481,4,急加速,1
福井県,18,越前市,209,35.917574,136.191214,4,急加速,2
福井県,18,越前市,209,35.92189299,136.190718,4,急加速,1
福井県,18,越前市,209,35.912016,136.192039,4,急加速,1
福井県,18,越前市,209,35.90169199,136.165417,4,急加速,1
福井県,18,越前市,209,35.901331,136.147114,4,急加速,1
福井県,18,越前市,209,35.90797899,136.18682,4,急加速,1
福井県,18,越前市,209,35.90782999,136.18362,4,急加速,1
福井県,18,越前市,209,35.908807,136.176535,4,急加速,3
福井県,18,越前市,209,35.910106,136.171653,4,急加速,1
福井県,18,越前市,209,35.910893,136.184159,4,急加速,2
福井県,18,越前市,209,35.882052,136.081901,4,急加速,1
福井県,18,越前市,209,35.896121,136.145032,4,急加速,2
福井県,18,越前市,209,35.905156,136.146786,4,急加速,1
福井県,18,越前市,209,35.909421,136.154208,4,急加速,1
福井県,18,越前市,209,35.90954399,136.167142,4,急加速,1
福井県,18,越前市,209,35.912329,136.188934,4,急加速,1
福井県,18,越前市,209,35.887319,136.177386,4,急加速,1
福井県,18,越前市,209,35.907314,136.181904,4,急加速,1
福井県,18,越前市,209,35.918853,136.174638,4,急加速,2
福井県,18,越前市,209,35.918189,136.179366,4,急加速,1
福井県,18,越前市,209,35.903933,136.176919,4,急加速,1
福井県,18,越前市,209,35.909458,136.171494,4,急加速,1
福井県,18,越前市,209,35.918546,136.174351,4,急加速,1
福井県,18,越前市,209,35.912735,136.188944,4,急加速,1
福井県,18,越前市,209,35.91814,136.189105,4,急加速,1
福井県,18,越前市,209,35.907976,136.186767,4,急加速,1
福井県,18,越前市,209,35.918861,136.174558,4,急加速,1
福井県,18,越前市,209,35.909293,136.175515,4,急加速,1
福井県,18,越前市,209,35.914033,136.179153,4,急加速,1
福井県,18,越前市,209,35.909078,136.17586,4,急加速,1
福井県,18,越前市,209,35.91071199,136.184166,4,急加速,1
福井県,18,越前市,209,35.926556,136.190092,4,急加速,1
福井県,18,越前市,209,35.911364,136.172046,4,急加速,1
福井県,18,越前市,209,35.908015,136.191296,4,急加速,1
福井県,18,越前市,209,35.90721099,136.177056,4,急加速,1
福井県,18,越前市,209,35.907961,136.186469,4,急加速,1
福井県,18,越前市,209,35.872864,136.156272,4,急加速,1
福井県,18,越前市,209,35.910003,136.171631,4,急加速,1
福井県,18,越前市,209,35.911547,136.232636,4,急加速,1
福井県,18,越前市,209,35.919694,136.165806,4,急加速,1
福井県,18,越前市,209,35.920122,136.161753,4,急加速,1
福井県,18,越前市,209,35.92058999,136.158062,4,急加速,1
福井県,18,越前市,209,35.90146699,136.146808,4,急加速,1
福井県,18,越前市,209,35.897972,136.145774,4,急加速,1
福井県,18,越前市,209,35.90037499,136.161428,4,急加速,1
福井県,18,越前市,209,35.919144,136.1745,4,急加速,1
福井県,18,越前市,209,35.917824,136.189103,4,急加速,1
福井県,18,越前市,209,35.90587,136.154174,4,急加速,1
福井県,18,越前市,209,35.91830499,136.179611,4,急加速,1
福井県,18,越前市,209,35.873717,136.160738,4,急加速,1
福井県,18,越前市,209,35.901879,136.172946,4,急加速,1
福井県,18,越前市,209,35.918062,136.179356,4,急加速,1
福井県,18,越前市,209,35.875583,136.158319,4,急加速,1
福井県,18,越前市,209,35.883865,136.167253,4,急加速,1
福井県,18,越前市,209,35.89752,136.155273,4,急加速,1
福井県,18,越前市,209,35.901761,136.192249,4,急加速,1
福井県,18,越前市,209,35.911031,136.189053,4,急加速,2
福井県,18,越前市,209,35.91106099,136.189243,4,急加速,1
福井県,18,越前市,209,35.909188,136.175507,4,急加速,1
福井県,18,越前市,209,35.896091,136.174523,4,急加速,1
福井県,18,越前市,209,35.902527,136.175724,4,急加速,1
福井県,18,越前市,209,35.918363,136.179115,4,急加速,1
福井県,18,越前市,209,35.91781499,136.183409,4,急加速,1
福井県,18,越前市,209,35.926554,136.18521,4,急加速,1
福井県,18,越前市,209,35.925818,136.180007,4,急加速,1
福井県,18,越前市,209,35.91671,136.19127,4,急加速,1
福井県,18,越前市,209,35.902057,136.192242,4,急加速,1
福井県,18,越前市,209,35.910808,136.18408,4,急加速,1
福井県,18,越前市,209,35.88939899,136.191972,4,急加速,1
福井県,18,越前市,209,35.918263,136.189087,4,急加速,1
福井県,18,越前市,209,35.91104399,136.188942,4,急加速,1
福井県,18,越前市,209,35.908875,136.176761,4,急加速,1
福井県,18,越前市,209,35.92665,136.191284,4,急加速,1
