街灯ID,lng,lat
7106,136.1750287874437,35.897121300529314
99,136.17780394448664,35.897392390007965
7101,136.17518125225925,35.89761042087585
95,136.17123326962468,35.897838687499636
7105,136.1752852269676,35.8979721540008
7100,136.17560778239206,35.89835844831669
94,136.17183028227703,35.89865886020165
7728,136.19222427489237,35.898955994648325
7733,136.19247105394712,35.89896577791247
7099,136.17600912106474,35.89896645029473
93,136.17176617320354,35.89897153563788
7729,136.19222177291275,35.899003499523474
7731,136.1924586531335,35.89900581341364
7730,136.1922199702152,35.899065332878244
7732,136.19245585048543,35.89906837667288
7719,136.19219897093245,35.89908763012652
7718,136.19228856330352,35.89909172125386
7717,136.1923798556333,35.89909364264299
7716,136.19246904818672,35.89909449410987
7722,136.19225446333985,35.89915243416434
7721,136.19234405586835,35.89915310565746
7720,136.19243514827275,35.89915376717785
7727,136.192212465592,35.89917927056032
7725,136.1924538453599,35.899183304345115
7726,136.19221016291945,35.89924146386786
7724,136.19245284257937,35.899245497675366
7734,136.19221016099783,35.89928319940376
7723,136.1924528407991,35.899284163539605
7121,136.18323809857674,35.89944700516512
7123,136.18220647925293,35.89955556553381
7122,136.18242305153245,35.89976696670515
96,136.17232398657677,35.8998467517677
7117,136.18309798545872,35.89998459521675
7124,136.1813245323396,35.89999334330358
7120,136.18366823635125,35.90002257111558
7118,136.18386241076348,35.90022805252886
7762,136.1821658436068,35.90040298418358
6950,136.1760812455231,35.900476909994815
7753,136.1773178406306,35.90052456649745
7763,136.18307466220534,35.90053165629535
7765,136.18119911254442,35.90064944093621
7119,136.18416206438727,35.900694757843915
92,136.17180028713597,35.90077914289094
7755,136.17711573993617,35.90090415236655
7737,136.17729132362325,35.90094174141297
7098,136.1760409274446,35.90094223951863
74,136.1724164283746,35.9009440060194
7764,136.18176575176275,35.90094745895768
7754,136.17712652870654,35.90112856855129
7760,136.18316532506077,35.90117480908696
7115,136.18361428361493,35.901265157265364
7761,136.18256396837796,35.901318683194006
7105,136.17744579123615,35.901366498678804
97,136.1760201073204,35.90141682839263
7114,136.18369606160553,35.901595643344805
7759,136.18319190051835,35.90165986766899
7752,136.17751466591014,35.90179228433956
7104,136.17691111559478,35.901801832775845
7738,136.17764765335585,35.90182507315537
84,136.17024496557087,35.90188091787708
7116,136.18292520836235,35.90197051978304
7113,136.18344276334946,35.90201461410699
7134,136.17312291552764,35.90212050252103
81,136.1759394816043,35.90212072169544
7751,136.17820779319132,35.90212141124301
6491,136.1835727453876,35.902170259729466
7093,136.17333539492398,35.90218472936273
7094,136.17355727363963,35.90224678660067
7111,136.18331986149903,35.90227646395259
7110,136.18338545545842,35.90228934372072
7135,136.17385034546842,35.90233000281899
7139,136.17407352596504,35.9023510344678
83,136.17012035394777,35.90235808466239
7136,136.17405692569037,35.90238694033732
6975,136.17418481433117,35.902402970856556
6976,136.17421651128987,35.90241185046045
7140,136.174362798138,35.90243363068606
7112,136.18322796158733,35.90244029482389
6962,136.17434169846948,35.90246448701709
7750,136.1783752606344,35.90252641084919
7137,136.17455577777022,35.902527903973365
7785,136.18345043783938,35.902554776464925
7665,136.18312086516153,35.902555830595425
6948,136.1748329511717,35.9026056405001
75,136.17022883266065,35.902624728036876
